longitude,latitude,Aspect,Slope,LULC,NDVI,Rainfall,TWI
85.95372853982431,27.782807216885608,16.42872,49.346073,10,0.71161306,5.2163897,14.009129979993542
85.92246604223978,27.781100377428917,0.99621356,46.461533,10,0.6825667,5.2163897,13.82121806555183
85.92438012852486,27.78116043268913,341.9418,41.5209,10,0.77074546,5.2163897,13.878762736203186
85.92406739053212,27.781206121357503,325.50958,45.047066,10,0.70566595,5.2163897,13.757951875632576
85.93634844262179,27.781868883980263,312.8578,45.66163,10,0.75972223,5.2163897,13.764925518161139
85.54033447385773,27.96373426535684,191.87427,49.185577,30,0.4994614,4.987441,14.254642076349755
85.54399424820105,27.965716536139677,171.47755,48.062683,30,0.56497693,4.987441,14.262484628649458
85.93174371550687,27.77905875347696,21.747799,30.649303,10,0.33676755,5.2163897,14.94371064179992
85.93896169729734,27.782682321032137,25.5573,25.010464,10,0.79735905,5.2163897,14.39491420127025
85.9393398343627,27.782373515213365,19.053299,31.655348,10,0.8296296,5.2163897,14.39528056352951
85.94194167399763,27.781945435520974,23.801756,35.95696,10,0.70611656,5.2163897,14.255419823191588
86.027256820397,27.75341633214782,314.95462,45.230804,30,0.67991847,4.018328,14.982568019282535
86.01533440380645,27.75001132338484,78.33258,29.262917,30,0.7541448,4.018328,15.403142104733739
86.01579994279025,27.752370185241737,183.46416,42.24493,10,0.7862505,4.018328,15.049460267428156
86.01660641631814,27.751833970598582,212.95724,49.644196,30,0.8711095,4.018328,14.73992765933681
85.8710403760774,27.76733041600652,129.40796,18.339727,10,0.48093647,6.0451574,14.742329598507547
85.91815528476062,27.71165633843002,181.13527,42.703423,10,0.5799868,4.370652,14.687017460217877
85.92285470834955,27.71036641751735,246.12318,34.210606,30,0.16989419,4.370652,14.83472677236529
85.92323607511017,27.709967873638515,256.018,31.089102,30,0.43267503,4.370652,15.066837262362453
85.77897469674416,27.75038742244283,343.4397,32.690525,10,0.38373643,4.7094727,13.992253302243816
85.88108878769984,27.84838466096994,261.1315,32.211266,10,0.6291313,4.586505,14.515459131445747
85.88100148791175,27.84970360734243,312.03513,51.4993,10,0.6146264,4.586505,13.006683320436904
85.93282355230203,27.7474577144302,279.8762,48.556446,30,0.36433837,4.780184,14.604459047890815
85.94748488129736,27.72154731455571,,,10,,4.780184,
85.90096909943209,27.712579962399392,251.00247,19.19274,10,0.7933475,4.370652,15.148137486829055
85.91119850630805,27.70751964886971,205.83067,14.1325035,30,0.6019271,4.370652,15.69239023685778
85.93190410653821,27.71077636055063,241.58572,48.30647,10,0.70286214,4.370652,14.827926204322031
85.93273996041604,27.70717635567064,252.59087,42.60727,10,0.7569328,4.370652,14.800501726373264
85.93265352222588,27.706108673774327,262.58194,51.42537,10,0.65475637,4.370652,14.440924999593008
85.93061569890912,27.696876396974787,190.11111,31.998774,10,0.7441777,4.370652,14.67542252300408
85.91622602433199,27.75998392358841,215.62634,39.232502,30,0.25670296,5.2163897,14.284499255544684
85.91717694587294,27.759996033134037,189.43552,48.1344,30,0.25147527,5.2163897,14.349965983681484
